artifact	path	description	required_for
weights	weights/HIT/CVS1_MCG-HGT/best_fold*_auprc.pt	Pretrained MCG-HGT fold checkpoints for HIT CVS1	HIT CVS1 reproduction and inference
preprocessed	preprocessed/HIT/edges.txt	Observed ingredient-target interaction edges	HIT training and evaluation
preprocessed	preprocessed/HIT/ingredient_similarity.txt	Ingredient-ingredient similarity edges	HIT graph construction
preprocessed	preprocessed/HIT/target_similarity.txt	Target-target similarity edges	HIT graph construction
preprocessed	preprocessed/HIT/ingredients_embeddings.csv	Precomputed molecular embeddings for HIT ingredients	HIT graph features
preprocessed	preprocessed/HIT/protein_embeddings.csv	Precomputed protein embeddings for HIT targets	HIT graph features
metadata	SHA256SUMS.txt	SHA256 checksums for GitHub Release assets	download verification
